BS31324993142,Skyline at Murrayhill,Beaverton
BS95828784743,Timbers at Tualatin,Tualatin
BS97394155294,The Rosie - Origin Investments,Chicago
BS64399251487,Wyngate Townhomes,Burnsville
BS58190294222,Wexford Place,Rosemount
BS61721743245,Waterstone Place,Minnetonka
BS62565784336,Volo at Texa Tonka,St. Louis Park
BS93865590389,Village Commons,Savage
BS87797035359,Victoria Flats,Victoria
BS71476796631,Urban Park I & II,St. Louis Park
BS14620011270,The Yards,St. Paul
BS59055969007,The Sixton,Shakopee
BS05512061172,The Shoreham,"St, Louis Park"
BS20027917276,The Morrison,Rosemount
BS42684943987,The Mezz at West Lake Quarter,Minneapolis
BS86464369781,The Hill,St. Paul
BS22309260734,The Finn,St. Paul
BS12360864351,The Arlow on Kellogg,St. Paul
BS23421805634,The Arbors,Bloomington
BS90818719576,Stonegate,Blaine
BS17842970493,South Pleasant,Richfield
BS66410809023,South Highland,St. Paul
BS80074471985,Shoreview Grand,Shoreview
BS12895365628,Riverview Highlands,St. Paul
BS32361617816,Residences at 1700,Minnetonka
BS62053495587,Point of America,Brooklyn Park
BS91742851281,Plaza Apartments,St. Anthony
BS61733225929,Pine Manor Estates,Circle Pines
BS17615809622,Pike Lake Marsh,Prior Lake
BS09919004370,Phalen Shores,St. Paul
BS66857463041,Parkridge Way,New Hope
BS49092849619,Overlook on the Creek,Minnetonka
BS02514446989,Osceola Place,St. Paul
BS29154779193,Nicollet Court,Bloomington
BS24629284738,Moonraker,Brooklyn Park
BS93383684776,Metropolitan Towers,Bloomington
BS37644111396,Masada Manor,Bloomington
BS29989016938,Mahtomedi Flats,Mahtomedi
BS92683843997,Lynwood Pointe,Brooklyn Center
BS22116843656,Larpenteur Villa,St. Paul
BS40211833792,Lakeville Pointe,Lakeville
BS57729890484,Kings Manor,New Hope
BS33898163990,Joppa Lane,"St, Louis Park"
BS94722858265,Hillside East,New Brighton
BS41813267539,Hills of Eden Prairie,Eden Prairie
BS66699682455,Hamline Pointe,St. Paul
BS71791552391,Grove80,Cottage Grove
BS60508943714,Greystone Heights,Inver Grove Heights
BS42051142324,Edenvale,Eden Prairie
BS23448289736,Eden Glen,Eden Prairie
BS99813561925,Eagan Gables,Eagan
