BS88899690585,Pine Forest Apartments,Houston
BS34367343792,Continental Village-,New Hope
BS84176225282,Nevada Apartments,New Hope
BS85228330252,Broadway West,Robbinsdale
BS30781752820,The Archer,Sacramento
BS84904202348,Bridges at Sunset,Suisun City
BS81063630764,Shelton Eastlake,Seattle
BS85612346263,Towns At Pax River,Lexington Park
BS61423044816,Sundance at the Crossings,Indianapolis
BS78417657946,Polo Run,Greenwood
BS60527270316,Thornridge,Grand Blanc
BS06217224562,Grand Bend Club,Grand Blanc
BS26977862254,Bristol Square,Wixom
BS14983110712,Sycamore Creek,Lake Orion
BS24450188446,Lynbrook,Elkhorn
BS59142813574,Old Monterey,Springfield
BS56769331139,Redbud Ranch,Broken Arrow
BS69211662628,97 @ North Oak,Kansas City
BS90372082023,Aspire Upland,Upland
BS13001019579,Village at Pioneer Park,Peoria
BS03310306492,Cielo at Tramonto,Phoenix
BS72895659932,Winfield at the Ranch,Prescott
BS34484798970,Village at Olive Marketplace,Glendale
BS66707661388,Village at Harvard Crossing,Goodyear
BS24774248545,Murano at Three Oaks,Fort Myers
BS64074831183,Salish Flats,Airway Heights
BS43106088448,Laurel Creek,Fairfield
BS48971406819,The Larking,Minneapolis
BS48247604687,Courts at Walker Mill - FCP,Capital Heights
BS78367969102,Woods at Addison - FCP,Capital Heights
BS00339733266,Holly Spring Meadows,District Heights
BS12802160361,Springline,Menlo Park
BS39007068393,The Modern,Seattle
BS07558540475,Miro,San Jose
BS52432882209,Sawyer & Huck,Minneapolis
BS16301858912,Cheswick Village,Powell
BS39437913831,Andresen Flats Building,Davenport
BS11801948606,Haligan Coffee Company Building Lofts,Davenport
BS69368280586,GVT Lofts,Davenport
BS50744133428,Burnes Building,Hopkins
BS87803559292,St. Anthony Mills,Minneapolis
BS34898441351,226 Oceana,Virginia Beach
BS85765192806,P.I.P Realty Group- Corporate,Chicago
BS73223677013,Axis,Plymouth
BS32940590945,Towne Gardens,Buffalo
BS99937398209,Royal Isles - FCP,Orlando
BS61997509257,Golden Gate,Wixom
BS42741325810,Sumner Village,Charleston
BS91921615088,Serafina at South Mountain,Phoenix
BS18310686578,Neal Fineman,Honolulu
BS92296476860,Standard at Leander Station,Leander
BS72568465231,Pelican Pointe,Houston
BS93290342831,Long Drive Townhomes,Houston
BS14631202958,Colonial,Houston
BS18075438521,Halston South Point,McDonough
BS29838456171,Halston McDonough,McDonough
BS77637639356,Halston Harris Bridge,Dallas
BS87950132201,Halston Shiloh Valley,Kennesaw
BS18544202464,Anthem Mesquite,Mesquite
BS24389104007,Elliot Gwinnett Place,Norcross
BS02457620316,Elliot Gateway,Marietta
BS48828471133,The Liberty,Golden Valley
BS13039238607,The McMillan,Shoreview
BS89817804230,The Fuller,Minneapolis
BS31003599310,The Bryant,Minneapolis
BS46742322103,CityLine Apartments,Minneapolis
BS96501755728,Boulevard 100,St. Louis Park
BS69729467370,Bierman Place,Minneapolis
BS63010572418,2800 Girard,Minneapolis
BS07818266842,Valley Place,Crystal
BS78143862977,The Original at West Lake Quarters,Minneapolis
BS69958536800,The Fremont,Minneapolis
BS16569766772,The Commons of Inver Grove,Inner Grove Heights
BS51728711766,Terra Pointe,St. Paul
BS80496528015,Tarnhill,Bloomington
BS74645531554,Shady Oak Crossing,Hopkins
BS17191622069,Rya at RF64,Richfield
BS23616004165,River 10,Anoka
BS37572752181,Oakdale Apartments of West Saint Paul,West St Paul
